QueryNumber;DocNumber;DocVotes
00017;00735;1
00017;00791;4
00017;00810;4
00017;00816;2
00017;00837;1
00017;00839;1
00017;00845;1
00017;00882;1
00017;00889;1
00017;00897;1
00017;00937;1
00017;00938;1
00017;00941;2
00017;00944;2
00017;01000;1
00017;01023;1
00017;01040;1
00017;01069;1
00017;01080;1
00017;01088;1
00017;01101;4
00017;01103;3
00017;01115;1
00017;01187;1
00017;01234;1
00018;00129;4
00018;00153;1
00018;00205;3
00018;00226;1
00018;00364;1
00018;00370;2
00018;00414;1
00018;00424;3
00018;00443;1
00018;00642;1
00018;00656;2
00018;00657;2
00018;00658;2
00018;00660;2
00018;00725;3
00018;00816;1
00018;00935;2
00018;00993;3
00018;00994;1
00018;01016;3
00018;01162;2
00019;00021;3
00019;00049;1
00019;00359;3
00019;00370;2
00019;00398;1
00019;00432;4
00019;00455;1
00019;00487;4
00019;00506;4
00019;00618;4
00019;00626;4
00019;00672;4
00019;00688;4
00019;00693;4
00019;00897;4
00019;00936;1
00019;00944;1
00019;01000;1
00019;01049;4
00019;01103;4
00019;01129;1
00019;01205;1
00020;00126;4
00020;00133;1
00020;00153;1
00020;00181;1
00020;00207;4
00020;00208;4
00020;00220;4
00020;00278;4
00020;00283;2
00020;00286;4
00020;00287;4
00020;00288;2
00020;00290;4
00020;00292;4
00020;00370;2
00020;00443;1
00020;00538;4
00020;00539;4
00020;00540;4
00020;00544;4
00020;00604;1
00020;00643;1
00020;00711;3
00020;00715;3
00020;00731;1
00020;00758;4
00020;00767;1
00020;00791;1
00020;00823;4
00020;00824;2
00020;00882;1
00020;00919;1
00020;00924;4
00020;00928;1
00020;00944;1
00020;00962;4
00020;00970;2
00020;01066;4
00020;01080;1
00020;01115;4
00020;01168;4
00020;01189;1
00020;01213;4
00020;01215;4
00020;01234;2
00020;01239;3
00021;00068;4
00021;00097;1
00021;00098;2
00021;00181;1
00021;00251;4
00021;00413;1
00021;00416;1
00021;00434;1
00021;00443;1
00021;00551;1
00021;00615;1
00021;00676;1
00021;00708;4
00021;00709;4
00021;00719;2
00021;00722;1
00021;00751;1
00021;00756;1
00021;00757;1
00021;00932;1
00021;00941;3
00021;01098;1
00021;01115;4
00021;01158;4
00021;01189;1
00022;00013;4
00022;00039;2
00022;00067;1
00022;00069;1
00022;00104;1
00022;00130;4
00022;00189;1
00022;00197;1
00022;00221;1
00022;00226;1
00022;00237;2
00022;00247;1
00022;00258;4
00022;00262;4
00022;00276;4
00022;00322;1
00022;00325;1
00022;00333;1
00022;00342;2
00022;00343;2
00022;00350;1
00022;00365;1
00022;00370;3
00022;00392;1
00022;00431;4
00022;00464;1
00022;00465;1
00022;00473;4
00022;00478;4
00022;00503;3
00022;00510;2
00022;00512;2
00022;00514;2
00022;00586;1
00022;00590;2
00022;00654;2
00022;00671;3
00022;00682;1
00022;00692;4
00022;00704;4
00022;00713;1
00022;00729;1
00022;00731;1
00022;00735;1
00022;00764;4
00022;00774;2
00022;00788;3
00022;00843;2
00022;00845;1
00022;00871;2
00022;00880;3
00022;00881;2
00022;00882;1
00022;00888;1
00022;00898;4
00022;00908;4
00022;00942;1
00022;00946;1
00022;00968;1
00022;01000;1
00022;01033;1
00022;01040;1
00022;01083;4
00022;01093;1
00022;01114;2
00022;01144;1
00022;01156;4
00022;01166;2
00022;01194;4
00022;01195;1
00023;00009;4
00023;00010;4
00023;00011;2
00023;00012;4
00023;00034;4
00023;00042;4
00023;00099;4
00023;00162;1
00023;00163;1
00023;00167;1
00023;00198;1
00023;00248;1
00023;00285;1
00023;00322;2
00023;00350;2
00023;00370;2
00023;00426;4
00023;00434;4
00023;00464;1
00023;00509;4
00023;00541;4
00023;00582;1
00023;00583;1
00023;00598;1
00023;00716;2
00023;00780;1
00023;00859;3
00023;00883;1
00023;00888;2
00023;00979;4
00023;00984;1
00023;01096;2
00023;01114;4
00023;01156;1
00023;01163;1
00024;00032;2
00024;00072;1
00024;00199;1
00024;00207;1
00024;00210;3
00024;00240;1
00024;00254;4
00024;00331;1
00024;00370;1
00024;00377;1
00024;00411;1
00024;00477;1
00024;00492;1
00024;00522;1
00024;00552;1
00024;00559;1
00024;00611;2
00024;00647;4
00024;00677;1
00024;00724;1
00024;00763;1
00024;00858;1
00024;00913;4
00024;00915;4
00024;00926;4
00024;00934;1
00024;01000;1
00024;01031;3
00024;01109;4
00024;01195;4
00024;01232;1
00025;00072;4
00025;00074;3
00025;00083;3
00025;00084;2
00025;00106;3
00025;00112;1
00025;00120;2
00025;00141;1
00025;00162;2
00025;00172;1
00025;00198;3
00025;00221;1
00025;00276;1
00025;00370;2
00025;00390;1
00025;00392;1
00025;00411;4
00025;00415;1
00025;00425;1
00025;00431;4
00025;00432;1
00025;00464;1
00025;00465;3
00025;00503;4
00025;00505;1
00025;00530;1
00025;00550;1
00025;00559;1
00025;00566;1
00025;00568;1
00025;00569;3
00025;00622;1
00025;00647;4
00025;00855;1
00025;00858;4
00025;00875;1
00025;00880;1
00025;00881;2
00025;00891;1
00025;00913;4
00025;00915;1
00025;00926;4
00025;00949;1
00025;00977;1
00025;01027;1
00025;01031;1
00025;01083;1
00025;01156;2
00025;01194;4
00025;01195;4
00025;01210;1
00026;00074;2
00026;00104;4
00026;00199;4
00026;00221;1
00026;00281;4
00026;00285;4
00026;00328;4
00026;00333;1
00026;00342;3
00026;00343;2
00026;00370;1
00026;00392;1
00026;00431;4
00026;00434;1
00026;00442;1
00026;00465;1
00026;00485;1
00026;00488;1
00026;00490;1
00026;00610;4
00026;00617;4
00026;00665;4
00026;00713;1
00026;00774;2
00026;00807;4
00026;00855;1
00026;00881;2
00026;00942;3
00026;01061;4
00026;01144;4
00026;01166;4
00026;01194;4
00026;01195;1
00027;00098;3
00027;00179;1
00027;00599;4
00027;00756;1
00027;00858;1
00027;00905;4
00027;00912;1
00027;00913;2
00027;01000;1
00027;01083;1
00027;01096;1
00028;00134;1
00028;00135;2
00028;00136;1
00028;00215;4
00028;00274;1
00028;00300;1
00028;00322;1
00028;00331;1
00028;00333;1
00028;00343;1
00028;00351;4
00028;00352;4
00028;00370;4
00028;00392;1
00028;00398;1
00028;00465;1
00028;00467;1
00028;00477;4
00028;00510;1
00028;00550;1
00028;00559;1
00028;00586;1
00028;00611;1
00028;00665;1
00028;00722;3
00028;00724;2
00028;00729;1
00028;00735;1
00028;00759;4
00028;00763;2
00028;00822;4
00028;00832;1
00028;00837;1
00028;00875;1
00028;00882;1
00028;00913;1
00028;00937;1
00028;00942;2
00028;00944;1
00028;00969;1
00028;00990;1
00028;01000;3
00028;01033;2
00028;01040;2
00028;01083;4
00028;01093;2
00028;01187;1
00028;01192;2
00028;01222;1
00028;01226;1
00028;01234;2
00029;00015;3
00029;00100;1
00029;00215;4
00029;00274;4
00029;00300;4
00029;00322;4
00029;00333;2
00029;00343;1
00029;00350;2
00029;00351;4
00029;00352;4
00029;00353;3
00029;00370;4
00029;00385;1
00029;00392;1
00029;00434;1
00029;00442;1
00029;00477;3
00029;00510;1
00029;00553;1
00029;00687;1
00029;00714;2
00029;00722;3
00029;00724;2
00029;00729;1
00029;00759;4
00029;00763;3
00029;00764;1
00029;00788;1
00029;00822;2
00029;00832;4
00029;00837;1
00029;00875;1
00029;00937;1
00029;00942;2
00029;00944;3
00029;01000;1
00029;01033;1
00029;01040;2
00029;01083;1
00029;01093;1
00029;01184;1
00029;01192;4
00029;01234;2
00030;00117;1
00030;00328;2
00030;00332;1
00030;00433;4
00030;00492;1
00030;00557;1
00030;00586;4
00030;00687;1
00030;00775;1
00030;00880;4
00030;00881;1
00030;00911;4
00030;00942;2
00030;01001;2
00030;01084;1
00030;01224;4
00030;01234;1
00031;00043;4
00031;00069;1
00031;00127;4
00031;00128;1
00031;00136;3
00031;00145;1
00031;00168;2
00031;00189;4
00031;00213;1
00031;00226;4
00031;00239;4
00031;00272;1
00031;00330;4
00031;00331;2
00031;00332;4
00031;00359;1
00031;00370;4
00031;00389;1
00031;00433;4
00031;00448;4
00031;00467;4
00031;00512;1
00031;00550;1
00031;00551;2
00031;00557;4
00031;00586;4
00031;00620;2
00031;00628;3
00031;00651;4
00031;00701;2
00031;00722;2
00031;00724;1
00031;00729;2
00031;00735;1
00031;00760;4
00031;00762;1
00031;00764;1
00031;00839;4
00031;00845;4
00031;00882;4
00031;00937;2
00031;00938;4
00031;00940;2
00031;00942;3
00031;00944;1
00031;00999;4
00031;01000;2
00031;01020;4
00031;01022;4
00031;01036;4
00031;01040;3
00031;01084;4
00031;01093;1
00031;01187;2
00031;01224;3
00031;01232;1
00031;01233;4
00031;01234;2
00032;00043;1
00032;00127;1
00032;00128;1
00032;00181;1
00032;00184;4
00032;00189;1
00032;00212;2
00032;00226;1
00032;00239;2
00032;00315;1
00032;00330;1
00032;00331;1
00032;00370;1
00032;00389;4
00032;00433;4
00032;00467;1
00032;00473;1
00032;00489;1
00032;00506;1
00032;00586;3
00032;00722;4
00032;00735;1
00032;00764;1
00032;00882;1
00032;00937;1
00032;00999;1
00032;01040;2
00032;01093;1
00032;01220;1
00032;01234;2
00033;00037;2
00033;00065;1
00033;00091;4
00033;00094;3
00033;00096;1
00033;00210;3
00033;00225;2
00033;00297;1
00033;00359;3
00033;00370;4
00033;00403;4
00033;00404;1
00033;00413;1
00033;00465;4
00033;00515;1
00033;00612;4
00033;00637;3
00033;00638;3
00033;00663;1
00033;00719;1
00033;00721;4
00033;00731;1
00033;00763;2
00033;00764;1
00033;00773;1
00033;00793;1
00033;00795;1
00033;00797;3
00033;00811;4
00033;00818;3
00033;00822;1
00033;00825;4
00033;00846;1
00033;00882;1
00033;00888;2
00033;00889;1
00033;00916;4
00033;00920;4
00033;00927;4
00033;00978;3
00033;00981;1
00033;00995;4
00033;00996;4
00033;01000;1
00033;01023;1
00033;01052;4
00033;01072;1
00033;01098;1
00033;01105;4
00033;01113;4
00033;01122;4
00033;01123;3
00033;01183;4
00033;01186;4
00033;01189;2
00033;01215;1
00033;01234;4
00034;00037;4
00034;00065;4
00034;00076;2
00034;00077;1
00034;00094;1
00034;00135;1
00034;00225;1
00034;00235;1
00034;00236;1
00034;00247;1
00034;00261;4
00034;00277;1
00034;00297;1
00034;00359;1
00034;00403;4
00034;00404;4
00034;00465;4
00034;00471;4
00034;00552;1
00034;00627;1
00034;00637;4
00034;00638;4
00034;00721;4
00034;00773;4
00034;00795;4
00034;00817;4
00034;00818;1
00034;00825;1
00034;00846;4
00034;00916;4
00034;00933;1
00034;00941;1
00034;00944;1
00034;00995;4
00034;01000;1
00034;01023;1
00034;01052;2
00034;01186;1
00034;01234;1
00035;00032;1
00035;00120;1
00035;00210;4
00035;00811;3
00035;00825;1
00035;00888;1
00035;00913;3
00035;00915;3
00035;00920;1
00035;00926;1
00035;00948;1
00035;01105;1
00035;01109;4
00035;01119;1
00036;00066;1
00036;00325;1
00036;00370;1
00036;00403;2
00036;00612;3
00036;00721;1
00036;00722;3
00036;00724;1
00036;01052;3
00037;00003;4
00037;00004;1
00037;00028;3
00037;00033;4
00037;00035;4
00037;00038;4
00037;00065;2
00037;00071;4
00037;00076;2
00037;00116;1
00037;00119;1
00037;00120;4
00037;00131;4
00037;00148;1
00037;00150;1
00037;00158;4
00037;00175;4
00037;00203;4
00037;00220;1
00037;00225;4
00037;00231;2
00037;00233;1
00037;00234;4
00037;00238;2
00037;00247;4
00037;00280;4
00037;00291;1
00037;00294;1
00037;00318;4
00037;00319;4
00037;00333;3
00037;00334;2
00037;00342;1
00037;00345;1
00037;00370;2
00037;00378;4
00037;00379;4
00037;00380;4
00037;00392;1
00037;00403;1
00037;00428;2
00037;00433;1
00037;00443;1
00037;00465;4
00037;00470;4
00037;00476;4
00037;00482;4
00037;00483;4
00037;00491;4
00037;00492;4
00037;00510;1
00037;00512;1
00037;00514;1
00037;00596;1
00037;00600;4
00037;00627;4
00037;00671;1
00037;00697;4
00037;00711;1
00037;00712;4
00037;00717;4
00037;00721;1
00037;00731;1
00037;00774;3
00037;00776;1
00037;00815;4
00037;00817;4
00037;00818;1
00037;00831;4
00037;00835;4
00037;00849;4
00037;00866;3
00037;00871;2
00037;00877;4
00037;00888;1
00037;00930;4
00037;00933;4
00037;00941;1
00037;00942;4
00037;00944;1
00037;00946;4
00037;00991;4
00037;01008;4
00037;01011;3
00037;01014;4
00037;01028;4
00037;01080;1
00037;01126;4
00037;01128;4
00037;01130;1
00037;01131;4
00037;01133;4
00037;01135;3
00037;01174;4
00037;01176;4
00037;01178;4
00037;01182;4
00037;01234;4
00038;00014;4
00038;00076;1
00038;00117;2
00038;00142;1
00038;00252;1
00038;00360;4
00038;00370;1
00038;00390;4
00038;00392;1
00038;00444;1
00038;00465;4
00038;00503;1
00038;00505;1
00038;00510;1
00038;00572;1
00038;00573;1
00038;00621;1
00038;00622;1
00038;00627;1
00038;00634;4
00038;00644;4
00038;00646;2
00038;00666;2
00038;00702;1
00038;00729;1
00038;00776;1
00038;00786;1
00038;00856;1
00038;00862;1
00038;00866;1
00038;00873;2
00038;00881;1
00038;00882;1
00038;00888;1
00038;00971;4
00038;00990;1
00038;01001;1
00038;01024;2
00038;01027;1
00038;01029;1
00038;01059;1
00038;01066;1
00038;01068;4
00038;01072;1
00038;01075;1
00038;01130;4
00038;01136;4
00038;01140;4
00038;01146;2
00038;01148;2
00038;01160;2
00038;01230;1
00038;01234;3
00039;00003;1
00039;00067;1
00039;00074;1
00039;00076;1
00039;00083;4
00039;00084;1
00039;00085;4
00039;00102;1
00039;00107;1
00039;00108;1
00039;00112;2
00039;00135;1
00039;00143;1
00039;00216;4
00039;00217;4
00039;00218;4
00039;00219;4
00039;00221;4
00039;00222;4
00039;00225;4
00039;00226;1
00039;00230;2
00039;00233;1
00039;00235;4
00039;00236;4
00039;00244;1
00039;00248;1
00039;00249;4
00039;00252;3
00039;00254;2
00039;00263;3
00039;00276;1
00039;00277;4
00039;00289;4
00039;00293;4
00039;00297;1
00039;00301;1
00039;00304;4
00039;00306;1
00039;00307;2
00039;00308;1
00039;00338;4
00039;00342;1
00039;00343;1
00039;00356;3
00039;00360;1
00039;00365;1
00039;00366;1
00039;00370;1
00039;00392;1
00039;00404;1
00039;00407;4
00039;00412;3
00039;00420;4
00039;00433;2
00039;00453;1
00039;00465;1
00039;00470;4
00039;00488;2
00039;00490;1
00039;00494;1
00039;00503;1
00039;00505;2
00039;00508;2
00039;00510;2
00039;00529;2
00039;00530;1
00039;00532;1
00039;00534;2
00039;00535;1
00039;00553;3
00039;00560;4
00039;00563;1
00039;00564;2
00039;00565;1
00039;00566;1
00039;00567;2
00039;00568;1
00039;00569;1
00039;00570;2
00039;00571;2
00039;00572;1
00039;00573;3
00039;00576;1
00039;00584;4
00039;00586;1
00039;00608;2
00039;00610;1
00039;00619;4
00039;00621;1
00039;00622;1
00039;00627;1
00039;00639;4
00039;00645;4
00039;00646;2
00039;00647;1
00039;00652;1
00039;00654;4
00039;00702;1
00039;00716;3
00039;00729;1
00039;00738;1
00039;00739;1
00039;00740;1
00039;00744;1
00039;00746;1
00039;00749;1
00039;00776;1
00039;00777;2
00039;00786;2
00039;00845;1
00039;00849;1
00039;00851;4
00039;00862;1
00039;00869;2
00039;00873;4
00039;00881;2
00039;00882;1
00039;00888;1
00039;00889;1
00039;00892;1
00039;00902;1
00039;00918;1
00039;00942;1
00039;00944;1
00039;00949;2
00039;00966;2
00039;00971;4
00039;00990;1
00039;01001;2
00039;01026;1
00039;01027;2
00039;01029;2
00039;01044;1
00039;01066;1
00039;01070;1
00039;01072;1
00039;01076;1
00039;01096;1
00039;01127;3
00039;01135;1
00039;01136;1
00039;01137;4
00039;01139;4
00039;01140;1
00039;01141;4
00039;01146;2
00039;01148;2
00039;01160;1
00039;01161;1
